"Pvalue","correlation","name","method"
"T cell regulatory (Tregs)_cibersort_abs",0.223234394240124,0.0538671569531721,"T cell regulatory (Tregs)_cibersort_abs","cibersort_abs"
"T cell gamma delta_cibersort_abs",0.00361982627847943,0.128240546961728,"T cell gamma delta_cibersort_abs","cibersort_abs"
"NK cell resting_cibersort_abs",0.000801086299592003,0.147561845438956,"NK cell resting_cibersort_abs","cibersort_abs"
"NK cell activated_cibersort_abs",0.950104759082239,0.00276951424334642,"NK cell activated_cibersort_abs","cibersort_abs"
"Monocyte_cibersort_abs",0.109810001984055,-0.0706837802169544,"Monocyte_cibersort_abs","cibersort_abs"
"Macrophage M0_cibersort_abs",0.000596607011214978,0.151075045221359,"Macrophage M0_cibersort_abs","cibersort_abs"
"Macrophage M1_cibersort_abs",2.16330422655011e-07,0.226482689329753,"Macrophage M1_cibersort_abs","cibersort_abs"
"Macrophage M2_cibersort_abs",1.30272037482655e-06,0.211750990639674,"Macrophage M2_cibersort_abs","cibersort_abs"
"Myeloid dendritic cell resting_cibersort_abs",0.624919316054341,0.0216352870983841,"Myeloid dendritic cell resting_cibersort_abs","cibersort_abs"
"Myeloid dendritic cell activated_cibersort_abs",0.00155759724388115,0.139340122415065,"Myeloid dendritic cell activated_cibersort_abs","cibersort_abs"
"Mast cell activated_cibersort_abs",0.00374580477717831,-0.127772361948576,"Mast cell activated_cibersort_abs","cibersort_abs"
"Mast cell resting_cibersort_abs",0.633259325944714,-0.0211155984222411,"Mast cell resting_cibersort_abs","cibersort_abs"
"Eosinophil_cibersort_abs",0.947251787619303,0.00292809724506908,"Eosinophil_cibersort_abs","cibersort_abs"
"Neutrophil_cibersort_abs",0.0199369160301071,0.102741645674987,"Neutrophil_cibersort_abs","cibersort_abs"
"Monocyte conventional_abis",0.00267717625052767,0.132305862627944,"Monocyte conventional_abis","abis"
"NK cell_abis",0.819890590792156,0.0100768953696554,"NK cell_abis","abis"
"T cell CD8+ memory_abis",0.000187557899929873,0.164193573896493,"T cell CD8+ memory_abis","abis"
"T cell CD4+ naive_abis",0.00102043919155466,-0.144618463798036,"T cell CD4+ naive_abis","abis"
"T cell CD8+ naive_abis",0.0241390507554923,-0.0995520793453204,"T cell CD8+ naive_abis","abis"
"B cell naive_abis",0.640958788086027,-0.0206383901457866,"B cell naive_abis","abis"
"T cell CD4+ memory_abis",1.77449325960223e-06,0.209107493273705,"T cell CD4+ memory_abis","abis"
"T cell MAIT_abis",0.731992008948357,-0.0151568301832567,"T cell MAIT_abis","abis"
"T cell gamma delta VD2_abis",0.000190105401139985,0.164046304446078,"T cell gamma delta VD2_abis","abis"
"Neutrophil_abis",0.00596377428784825,-0.121252706127923,"Neutrophil_abis","abis"
"T cell gamma delta non-VD2_abis",1.0066549398113e-06,0.213930728009969,"T cell gamma delta non-VD2_abis","abis"
"Basophil_abis",0.00320484572276239,-0.129894911132603,"Basophil_abis","abis"
"Monocyte non-conventional_abis",0.776567991035254,0.0125599706074419,"Monocyte non-conventional_abis","abis"
"B cell memory_abis",0.0018469037510971,0.137162220769775,"B cell memory_abis","abis"
"Myeloid dendritic cell_abis",0.00353991038294557,-0.128545264726983,"Myeloid dendritic cell_abis","abis"
"Plasmacytoid dendritic cell_abis",0.0471038549260035,-0.0877009932480128,"Plasmacytoid dendritic cell_abis","abis"
"B cell plasma immature_abis",0.00971039751500452,-0.114078922884184,"B cell plasma immature_abis","abis"
"B_cells_consensus_tme",6.62348576774109e-07,0.21742204562429,"B_cells_consensus_tme","tme"
"Cytotoxic_cells_consensus_tme",2.85381223391389e-10,0.273770423430923,"Cytotoxic_cells_consensus_tme","tme"
"Dendritic_cells_consensus_tme",5.60063067507019e-12,0.297967401745201,"Dendritic_cells_consensus_tme","tme"
"Eosinophils_consensus_tme",7.69901842586345e-08,0.234524869100807,"Eosinophils_consensus_tme","tme"
"Macrophages_consensus_tme",3.76452208758347e-13,0.313355541579582,"Macrophages_consensus_tme","tme"
"Mast_cells_consensus_tme",6.70258753555944e-11,0.282961418852689,"Mast_cells_consensus_tme","tme"
"NK_cells_consensus_tme",5.38459925248301e-12,0.298198255848975,"NK_cells_consensus_tme","tme"
"Neutrophils_consensus_tme",1.27424686408643e-13,0.31928599675911,"Neutrophils_consensus_tme","tme"
"T_cells_CD4_consensus_tme",1.796623736575e-09,0.261577948067257,"T_cells_CD4_consensus_tme","tme"
"T_cells_CD8_consensus_tme",1.51792461337119e-09,0.262721026868884,"T_cells_CD8_consensus_tme","tme"
"T_cells_gamma_delta_consensus_tme",4.25308895668524e-12,0.299578361248397,"T_cells_gamma_delta_consensus_tme","tme"
"T_regulatory_cells_consensus_tme",2.70995149452452e-11,0.28853921989493,"T_regulatory_cells_consensus_tme","tme"
"Macrophages_M1_consensus_tme",1.95845194997976e-16,0.352279035761854,"Macrophages_M1_consensus_tme","tme"
"Macrophages_M2_consensus_tme",4.9857705537022e-12,0.298649287146973,"Macrophages_M2_consensus_tme","tme"
"Endothelial_consensus_tme",0.486345069516413,0.0308029024718486,"Endothelial_consensus_tme","tme"
"Fibroblasts_consensus_tme",0.789821266107079,-0.0117965151400649,"Fibroblasts_consensus_tme","tme"
"Monocytes_consensus_tme",1.08647470049296e-08,0.249016911285974,"Monocytes_consensus_tme","tme"
"Plasma_cells_consensus_tme",2.71390777877598e-06,0.205416949048748,"Plasma_cells_consensus_tme","tme"
"Immune_Score_consensus_tme",5.87745226927728e-11,0.283778303369896,"Immune_Score_consensus_tme","tme"
"Step1:Release of cancer cell antigens",0.0710103690488662,0.079778370533663,"Step1:Release of cancer cell antigens","TIP"
"Step2:Cancer antigen presentation",2.66409405991315e-10,0.274214659885432,"Step2:Cancer antigen presentation","TIP"
"Step3:Priming and activation",1.25870683976087e-14,0.331536727863571,"Step3:Priming and activation","TIP"
"Step4:Trafficking of immune cells to tumors",3.20779384598335e-09,0.257604619037207,"Step4:Trafficking of immune cells to tumors","TIP"
"Step5:Infiltration of immune cells into tumors",9.68919967579885e-10,0.265738903270992,"Step5:Infiltration of immune cells into tumors","TIP"
"Step6:Recognition of cancer cells by T cells",1.40381950259677e-17,0.364657845011966,"Step6:Recognition of cancer cells by T cells","TIP"
"Step7:Killing of cancer cells",2.87354328353693e-12,0.301856171146042,"Step7:Killing of cancer cells","TIP"
"Activated CD8 T cell_TISDB",1.0913826682961e-08,0.248984588944314,"Activated CD8 T cell_TISDB","TISDB"
"Central memory CD8 T cell_TISDB",1.13609601134874e-06,0.212910879479685,"Central memory CD8 T cell_TISDB","TISDB"
"Effector memeory CD8 T cell_TISDB",2.87216658724604e-07,0.224223613278782,"Effector memeory CD8 T cell_TISDB","TISDB"
"Activated CD4 T cell_TISDB",2.46921562053035e-24,0.428575509703145,"Activated CD4 T cell_TISDB","TISDB"
"Central memory CD4 T cell_TISDB",1.45920605110554e-08,0.246892092862775,"Central memory CD4 T cell_TISDB","TISDB"
"Effector memeory CD4 T cell_TISDB",0.00109192642142949,0.143785175152622,"Effector memeory CD4 T cell_TISDB","TISDB"
"T follicular helper cell_TISDB",4.62106923713676e-13,0.31221818587638,"T follicular helper cell_TISDB","TISDB"
"Gamma delta T cell_TISDB",1.30325315378255e-18,0.375378575437399,"Gamma delta T cell_TISDB","TISDB"
"Type 1 T helper cell_TISDB",7.48472760514296e-09,0.251673894087817,"Type 1 T helper cell_TISDB","TISDB"
"Type 17 T helper cell_TISDB",7.97735636226284e-15,0.33388652507488,"Type 17 T helper cell_TISDB","TISDB"
"Type 2 T helper cell_TISDB",9.35392655524662e-15,0.333068617015589,"Type 2 T helper cell_TISDB","TISDB"
"Regulatory T cell_TISDB",3.47806215147584e-16,0.349507881640169,"Regulatory T cell_TISDB","TISDB"
"Activated B cell_TISDB",0.000219491353060813,0.162469470277063,"Activated B cell_TISDB","TISDB"
"Immature  B cell_TISDB",1.18315115927403e-11,0.293538391215934,"Immature  B cell_TISDB","TISDB"
"Memory B cell_TISDB",8.97855349554065e-05,0.172053133648782,"Memory B cell_TISDB","TISDB"
"Natural killer cell_TISDB",0.000172658361560727,0.165094407430786,"Natural killer cell_TISDB","TISDB"
"CD56bright natural killer cell_TISDB",0.0003316234166571,0.15785990193091,"CD56bright natural killer cell_TISDB","TISDB"
"CD56dim natural killer cell_TISDB",0.17356935669279,0.0601741750071027,"CD56dim natural killer cell_TISDB","TISDB"
"Myeloid derived suppressor cell_TISDB",5.56811550409998e-11,0.284113728630095,"Myeloid derived suppressor cell_TISDB","TISDB"
"Natural killer T cell_TISDB",9.22938616778553e-11,0.280961001536691,"Natural killer T cell_TISDB","TISDB"
"Activated dendritic cell_TISDB",1.55514114583278e-10,0.277663431554319,"Activated dendritic cell_TISDB","TISDB"
"Plasmacytoid dendritic cell_TISDB",0.253030510204825,0.0505565926272976,"Plasmacytoid dendritic cell_TISDB","TISDB"
"Immature dendritic cell_TISDB",0.00380390046379503,0.12756124674275,"Immature dendritic cell_TISDB","TISDB"
"Macrophage_TISDB",9.09689401200798e-05,0.171916424170103,"Macrophage_TISDB","TISDB"
"Eosinophil_TISDB",0.000518659369371826,-0.152718007778216,"Eosinophil_TISDB","TISDB"
"Mast cell_TISDB",0.393259105085943,-0.0377714293674558,"Mast cell_TISDB","TISDB"
"Monocyte_TISDB",0.0001271420776725,0.168385076747257,"Monocyte_TISDB","TISDB"
"Neutrophil_TISDB",1.07295614573783e-09,0.265056582818058,"Neutrophil_TISDB","TISDB"
"chemokine_TISDB",7.95846133302233e-07,0.215897745147197,"chemokine_TISDB","TISDB"
"Immunostimulator_TISDB",5.58995166321472e-14,0.323710542763366,"Immunostimulator_TISDB","TISDB"
"receptor_TISDB",4.74200654248297e-12,0.298942661055317,"receptor_TISDB","TISDB"
"MHC_TISDB",2.89250298164274e-09,0.258318682100515,"MHC_TISDB","TISDB"
"Immunoinhibitor_TISDB",1.094165711215e-18,0.376151733567866,"Immunoinhibitor_TISDB","TISDB"
"StromalScore",0.0109656887060866,0.112229837526288,"StromalScore","estimate"
"ImmuneScore",7.57663161328693e-08,0.234647325231966,"ImmuneScore","estimate"
"ESTIMATEScore",5.74285715997553e-06,0.198737346284349,"ESTIMATEScore","estimate"
"TumorPurity",4.18901235652692e-06,-0.201575920440176,"TumorPurity","estimate"
