"TP53","CDKN1A","CDKN2A","SIRT1","RB1","TERT","CDK4","CDKN2B","MAPK1","MAPK14","MTOR","TERF2","UBC","CDK6","HMGA2","E2F1","CCNA2","MDM2","CXCL8","HSPA8","LMNB1","MAPK3","MAPKAPK5","ATM","CDKN1B","score"
"TCGA-AN-A03Y-01A-21R-A00Z-07",75.6954,104.4857,2.3638,20.8176,28.7971,0,53.9965,9.0067,59.0809,32.0914,12.7192,14.9206,431.453,1.4223,0.0067,35.039,23.8333,15.0983,1.6226,739.4454,96.1515,38.6718,13.1506,4.8254,183.2606,0.33934965644053
"TCGA-AN-A046-01A-21R-A034-07",35.1994,83.6663,1.5523,19.5115,18.0056,0.0657,54.9539,15.7455,70.3588,19.8864,15.6025,12.3357,639.6022,2.5233,0.0258,12.2943,9.4509,20.4441,0.2172,636.0346,28.2064,32.3702,9.0651,6.0694,71.6345,0.617632826865383
"TCGA-AN-A049-01A-21R-A00Z-07",67.1395,124.3732,4.6927,22.7369,44.8467,0.091,65.985,16.6542,59.6821,37.1727,19.6881,20.2074,539.5371,3.0797,0.0255,25.2793,30.4563,22.6346,1.1338,1260.1402,60.7265,120.45,8.1683,2.7465,120.3801,0.362689119003839
"TCGA-AN-A0AJ-01A-11R-A00Z-07",17.443,171.8225,1.699,32.0728,36.41,0.1169,112.5315,7.8114,80.0119,61.5939,19.7285,20.9176,633.8077,2.9357,0.0353,113.4436,69.4227,19.7156,5.3966,1285.6144,264.8423,46.7443,12.2807,5.3083,110.7127,0.823945933739798
"TCGA-AN-A0AK-01A-21R-A00Z-07",129.4688,342.0786,7.2744,23.8325,61.4684,0.2914,109.9543,6.5928,111.5504,44.2145,26.0382,16.8857,721.764,4.1147,0,53.6901,98.1779,40.7103,1.2475,1163.5704,142.0561,104.7913,12.9927,2.6177,71.8725,0.781686506016323
"TCGA-AN-A0AS-01A-11R-A00Z-07",51.3486,94.0128,2.1845,36.2369,39.82,0.0123,73.3109,16.339,124.9416,34.82,20.2112,18.0764,497.6935,10.034,0.1829,12.9435,18.6359,25.7451,18.758,597.7855,36.4184,146.1619,6.5093,5.2838,140.2387,0.527049259653537
"TCGA-AN-A0AT-01A-11R-A034-07",14.1374,142.763,0.2041,13.9633,24.0228,1.3239,74.006,0.5715,145.4341,44.2459,24.9626,27.2848,970.3732,20.8089,0.5356,64.4475,147.2263,9.4674,28.5254,1551.9243,84.0223,72.4532,7.2561,4.2332,57.8574,0.675860511629407
"TCGA-AN-A0FD-01A-11R-A034-07",18.1176,62.0689,6.511,34.719,36.0906,0.1979,53.9768,24.6922,48.6231,23.5006,13.2998,24.6998,716.6698,3.7562,0.1052,9.7365,29.2703,14.3097,1.139,949.4354,43.3126,136.0644,7.8606,4.1683,104.6631,0.448892136174709
"TCGA-AN-A0FK-01A-11R-A034-07",108.6345,83.6133,1.9944,34.1043,38.0606,0.5805,55.397,10.0446,56.9137,32.2631,11.2765,18.5661,482.2047,23.5107,0.058,18.3508,14.2344,21.8338,0.307,1519.6705,55.7092,87.6912,4.9388,5.3902,269.3587,0.684166112123926
"TCGA-AN-A0FL-01A-11R-A034-07",4.4726,25.5721,6.3392,12.3766,24.6878,0.2136,32.0682,5.1202,55.9391,20.5377,21.9319,14.9628,365.3437,13.0031,0.0134,21.7509,20.3901,4.6291,0.926,290.8235,22.717,47.7585,3.732,3.2568,24.1515,0.609503532372012
"TCGA-AN-A0FN-01A-11R-A034-07",55.0261,106.1759,6.8597,30.7513,42.1368,0.0268,49.3687,41.4186,87.6142,31.4802,18.2298,17.4161,791.3432,9.9089,0.1582,8.292,12.7442,16.2279,6.6967,609.9413,39.0692,71.4656,7.2301,9.5723,142.5036,0.762476208909965
"TCGA-AN-A0FT-01A-11R-A034-07",47.4667,58.4828,1.6438,11.0499,28.7425,0.0981,13.8605,7.0926,40.9531,12.2883,6.6252,12.6335,335.4708,1.5938,0.0103,13.3523,7.2535,10.3093,2.1262,81.0564,23.4485,100.0469,6.0845,1.8082,32.0499,0.717950357939725
"TCGA-AN-A0FW-01A-11R-A034-07",52.4019,122.2323,5.3425,25.3635,55.592,0.0999,102.2988,15.234,91.3653,45.5639,23.5622,19.2951,600.3519,2.7996,0.1047,29.544,46.4126,30.2449,0.1321,839.1239,74.7047,107.175,13.6493,2.6653,138.3696,0.427481531662312
"TCGA-AN-A0XL-01A-11R-A10J-07",31.6488,156.3079,4.2084,33.2013,35.7923,0.1645,48.2561,49.0318,86.4516,38.9246,27.4507,16.1523,633.0857,5.389,0.0277,26.6396,20.8872,16.7104,2.0508,617.4943,63.4836,87.4361,12.031,3.9874,194.8326,0.323849156424401
"TCGA-AN-A0XN-01A-21R-A109-07",61.8602,170.1092,8.2439,27.9028,38.2033,0.0429,54.9892,37.5987,107.684,45.3537,26.8824,19.325,795.4518,16.4765,0.5004,11.3392,19.0857,15.6442,76.9717,922.1854,25.7943,57.3638,9.6014,16.5847,87.5702,0.581341333591406
"TCGA-AN-A0XP-01A-11R-A109-07",38.6225,106.7083,8.7974,31.5977,45.8811,0.0307,47.0012,19.9622,93.4051,39.6634,23.5391,15.998,1006.4601,2.842,0.0562,12.4581,11.865,24.5106,0.6214,1313.3746,26.8241,79.7651,10.192,8.6085,181.1446,0.449724184651118
"TCGA-AN-A0XS-01A-22R-A109-07",59.2362,98.9569,3.0101,22.399,39.031,0.1669,52.8976,35.8241,78.7867,37.2314,21.1251,14.6856,487.5051,8.3617,0.0219,9.5314,9.0306,20.7886,1.0299,529.2474,45.639,144.0581,10.3452,7.8687,38.4212,0.296945062743959
"TCGA-AN-A0XV-01A-11R-A109-07",56.0903,86.557,2.9866,30.1569,31.1285,0.0676,35.8945,13.775,101.4853,32.3866,21.5981,23.0092,873.5988,6.4448,0.0607,10.2629,24.6893,20.4268,2.6549,660.0667,49.6689,82.0835,8.8149,11.0215,162.2033,0.538839962579438
"TCGA-AO-A03O-01A-11R-A00Z-07",72.4023,39.687,2.5638,62.9579,39.5454,0,286.7158,6.5365,183.5926,42.8067,39.3735,21.0886,716.3399,2.4124,0.0295,69.8895,59.6441,14.6016,2.7804,828.0469,138.086,60.8394,12.1554,4.2224,177.5177,0.388722216845705
"TCGA-AO-A0J3-01A-11R-A034-07",42.9218,170.7101,4.9113,27.0211,24.7371,0.0262,35.4973,9.4045,48.9552,15.7104,15.9041,20.8155,749.8078,0.6781,0.0051,43.2649,35.1261,15.809,2.6847,455.2981,71.7768,145.073,10.082,1.8724,343.1349,0.382745414514762
"TCGA-AO-A0J6-01A-11R-A034-07",9.637,48.4943,0.4862,14.5387,23.6808,0.0272,91.9421,1.2961,42.8704,34.9353,16.786,23.6906,796.6249,13.9825,0.0427,60.6295,102.758,13.5084,24.1431,853.575,42.3367,80.1511,10.7935,5.2768,49.3568,0.793090009029378
"TCGA-AO-A0J7-01A-11R-A034-07",87.5383,109.1863,1.7119,26.0931,41.1727,0.0945,86.2617,5.7338,78.3602,25.4147,14.2983,25.4842,575.2134,1.8384,0.0619,56.0551,36.0309,16.5556,2.4429,931.3517,109.6995,99.9326,10.7889,4.1498,25.589,0.273766895706313
"TCGA-AO-A0J8-01A-21R-A034-07",82.5185,133.0544,7.4142,33.8424,43.0073,0.0479,70.3111,24.9439,64.6514,24.9935,26.5003,20.006,765.0652,3.3064,0.1222,7.4429,12.5782,18.3114,2.9737,944.2825,31.7269,99.2533,8.4577,8.5233,159.7931,0.504677570244201
"TCGA-AO-A0J9-01A-11R-A034-07",46.5095,33.9444,3.0758,11.7136,17.9455,0.5865,13.3661,23.8133,26.0167,11.8379,6.6612,7.5789,322.9142,2.538,0.0311,10.5126,8.3441,10.6909,5.8819,167.6086,46.1005,57.8403,4.0958,2.8028,19.9277,0.133536565695668
"TCGA-AO-A0JC-01A-11R-A056-07",50.4283,68.2712,4.1828,30.8076,54.434,0.2332,26.3827,5.8351,84.4825,34.8742,22.785,24.5224,652.6315,11.6473,0.1332,11.1257,19.0876,13.7821,18.2987,424.6667,68.3208,57.0993,9.6351,41.2017,178.1006,0.472482983322043
"TCGA-AO-A0JF-01A-11R-A056-07",46.7421,90.8195,6.4641,42.7469,70.093,0.0127,63.1297,40.4787,132.2895,52.0755,28.7881,15.5808,689.68,11.0481,0.1651,6.5041,15.6702,21.2706,14.9886,1125.5705,29.1445,93.1118,7.0639,10.8658,152.3577,0.489306106648602
"TCGA-AO-A125-01A-11R-A10J-07",50.8786,58.3116,3.7623,20.1693,24.8143,0.0817,20.4947,4.2319,44.5539,16.5679,14.4385,7.764,903.8652,0.742,0.0285,5.194,9.4061,13.3745,8.2323,159.4846,23.6369,70.757,8.6982,9.185,88.5365,0.338472054930386
"TCGA-AO-A128-01A-11R-A10J-07",31.4709,89.2243,10.2774,46.4671,95.092,0.4502,70.7739,11.3407,83.7245,43.4926,68.8466,24.9154,1075.6982,43.8705,0.0035,43.6352,45.3387,15.9022,1.097,1474.6945,122.7771,43.3017,9.5926,14.7333,106.7228,0.810671311977806
"TCGA-AO-A12B-01A-11R-A10J-07",39.9191,195.0989,2.3472,18.3024,28.0864,0.0823,39.2598,6.9436,66.9965,27.2149,20.5746,15.333,807.7311,24.3769,0,11.1014,10.9684,16.7296,0.4042,1096.8656,49.9323,61.9832,7.7969,6.6981,146.9005,0.365849991793676
"TCGA-AO-A12G-01A-11R-A10J-07",48.1619,35.5259,6.8545,9.3319,24.7048,0.0419,47.5248,17.7083,83.6575,20.7234,13.7007,7.9633,470.097,2.2535,0.0384,10.6527,6.0491,7.8962,0.3694,513.6339,30.4009,42.4322,5.8805,2.7328,73.2859,0.582486531823607
"TCGA-AO-A12H-01A-11R-A115-07",50.916,132.1863,8.6926,35.7115,43.0325,0.1083,39.3256,21.421,75.8296,26.993,15.9579,21.8675,739.0761,0.9265,0.0164,16.128,10.5669,20.8706,0.4404,689.7278,27.561,90.6058,7.0578,6.5248,15.9337,0.518586028838156
"TCGA-AO-A1KP-01A-11R-A13Q-07",113.3047,58.7016,5.4115,42.4394,39.1345,0.1497,25.9546,9.3671,51.8971,31.3429,9.4278,14.568,450.1067,27.7175,0.0849,14.789,24.2058,18.4744,2.5728,397.2164,49.5746,167.152,10.5459,8.2908,6.4304,0.210345495015968
"TCGA-AO-A1KQ-01A-11R-A13Q-07",44.0866,366.4034,2.3123,24.2963,18.8208,0.0607,63.6197,5.4797,54.8499,23.7072,11.9589,14.9879,780.8407,2.6599,0.0477,58.3473,45.0336,38.4337,3.2739,604.3574,154.2743,111.6666,10.7694,4.6252,169.7313,0.739007709926127
"TCGA-AO-A1KS-01A-11R-A13Q-07",10.3987,42.0403,2.3507,90.3113,84.7059,0.176,63.4104,19.7663,176.5719,67.0982,24.082,18.929,452.2909,6.1646,0.0244,20.0277,55.7818,35.1666,3.4218,1734.6222,128.2501,59.637,18.0482,13.9912,399.9554,0.525839543211071
"TCGA-AO-A1KT-01A-11R-A13Q-07",71.3581,704.8608,6.7282,25.3204,21.5566,0.1033,52.8143,13.8848,111.5631,54.5781,18.2063,30.9844,966.8725,12.5354,0.1217,65.5007,33.9689,16.4363,36.1384,1147.0869,75.6096,143.0694,17.3961,2.0128,112.6934,0.545662763314946
"TCGA-AQ-A04H-01B-11R-A10J-07",60.2613,57.0647,6.3669,34.4923,55.2842,0.397,86.4942,15.5156,96.4832,48.1066,41.1104,27.9118,883.8874,4.161,0.1968,103.9573,40.1595,14.515,4.574,1300.7005,99.371,319.3788,14.3613,7.7561,386.6983,0.417287654440466
"TCGA-AQ-A0Y5-01A-11R-A14M-07",34.484,447.7018,4.4901,26.5912,55.2757,0.0105,54.4134,13.9675,137.2362,58.0147,27.724,24.4278,960.3583,5.8634,0.2101,11.2617,6.3252,24.5071,27.6702,2094.0658,45.4861,116.1019,13.2062,9.3294,114.9589,0.559453530759057
"TCGA-AQ-A1H2-01A-11R-A13Q-07",32.1391,218.3758,1.3516,37.9673,30.087,0.0597,70.5461,3.2692,120.5509,47.4727,15.2887,17.1886,1831.6416,0.8086,0.0335,23.1054,3.8768,27.1675,0.8344,820.882,20.5825,160.3196,10.2855,3.9911,268.022,0.35060378956425
"TCGA-AR-A0TR-01A-11R-A084-07",34.1027,36.2674,3.4211,47.6011,38.9941,0.0532,88.4787,7.4013,72.9187,65.2944,45.418,48.1534,912.8166,2.3932,0.0042,12.9258,5.9826,75.3693,0,1038.1145,28.4693,87.0593,18.8465,15.6178,168.9301,0.696182712240451
"TCGA-AR-A0TV-01A-21R-A084-07",43.1409,107.1493,8.586,18.1366,22.6055,0.1188,64.0987,11.7099,162.5105,42.6939,29.6946,13.3291,713.1154,2.0069,0.0039,82.3554,38.2713,16.042,1.9113,1176.2186,49.5221,142.3631,10.7049,5.1535,40.0647,0.582583309139004
"TCGA-AR-A0TX-01A-11R-A084-07",44.6783,50.7427,5.5814,30.4903,32.5724,0.1208,248.4886,15.7863,117.8502,51.1911,41.5915,20.3645,542.6496,8.8147,0.0119,50.6465,33.2323,42.8709,2.2615,1585.076,101.056,76.4893,5.3848,10.5717,144.8517,0.907109906771186
"TCGA-AR-A0U0-01A-11R-A109-07",108.4596,201.9851,32.1874,22.7967,43.9144,0.3954,37.621,50.1688,69.353,54.2592,42.3484,23.765,650.5435,33.5313,0.1467,24.9232,54.308,12.1322,9.2067,909.5692,83.428,46.9851,7.3405,8.5459,54.101,0.639857923506351
"TCGA-AR-A1AJ-01A-21R-A12P-07",122.6194,116.1055,40.4085,35.6547,31.042,0.1197,58.1153,24.8415,90.3051,49.7258,35.6674,23.7506,729.0548,21.988,0.0094,49.5068,74.279,14.6039,7.1539,1209.0324,114.0859,85.9032,10.0586,13.3733,77.4784,0.750895026255839
"TCGA-AR-A1AK-01A-21R-A12P-07",57.3464,200.7515,6.2347,28.6549,47.1679,0.4118,64.052,27.7212,88.6453,42.9549,34.1968,20.812,886.2824,6.856,0.0313,40.0809,18.6588,30.4438,2.6694,930.0606,67.3639,118.059,14.3604,10.7367,281.1478,0.308106713119778
"TCGA-AR-A1AL-01A-21R-A12P-07",62.8602,128.3077,1.5349,58.142,67.106,0.048,64.1524,14.6771,133.7765,48.6477,34.1379,23.4491,871.4918,15.2664,0.0424,12.9312,11.2375,19.5475,5.6437,1197.662,50.1208,89.7192,13.2215,21.5471,146.6846,0.364624665311784
"TCGA-AR-A1AP-01A-11R-A12P-07",18.4949,140.1563,13.3748,28.7418,47.5268,0,85.6188,26.7498,83.4384,29.9519,32.5067,15.8238,875.7313,4.5185,0.0525,31.4095,24.8916,15.6188,8.4818,1417.7699,43.9723,134.8641,12.8297,5.8181,296.0504,0.27033130100971
"TCGA-AR-A1AT-01A-11R-A12P-07",54.544,127.3843,3.4257,20.9755,49.7159,0.3566,65.027,6.1496,83.0955,35.3226,21.6125,15.0369,788.4166,3.2922,0.0365,30.197,28.3907,15.4727,7.6659,1571.0452,94.6149,65.7932,7.3615,11.6247,143.9222,0.715006935707603
"TCGA-AR-A1AV-01A-21R-A12P-07",78.8698,108.0695,7.432,51.4746,61.9866,0.2041,82.3236,17.712,86.9001,52.0093,41.9663,38.8653,874.5754,4.843,0.1055,19.3394,14.4414,37.455,2.5564,1224.3194,71.5278,109.8097,21.9121,10.7736,307.2776,0.648359624504016
"TCGA-AR-A1AW-01A-21R-A12P-07",59.391,38.1342,1.6396,26.4088,29.462,0.2442,29.2315,5.4324,61.3265,33.3091,21.2193,15.8204,323.2205,9.7779,0.003,13.049,26.6486,13.3734,1.3518,781.7526,63.4056,31.0039,7.4866,17.3211,79.0096,0.67044098196716
"TCGA-AR-A1AX-01A-11R-A12P-07",55.9788,70.9197,7.1684,22.679,51.155,0.1709,61.1108,16.0992,125.7063,46.7103,38.1424,20.3825,849.4974,9.3001,0.0761,29.2285,22.8942,15.0978,0.512,1279.8984,59.6356,54.7867,9.2656,18.8648,126.5024,0.459998709635795
"TCGA-AR-A1AY-01A-21R-A12P-07",15.1429,66.2125,55.5447,25.6488,8.4646,2.2099,195.8859,70.2443,137.2436,65.951,28.7418,31.6322,727.7318,80.3265,0.318,62.4623,74.8729,23.8404,48.6818,1480.8233,157.7373,45.1735,20.0621,10.7442,116.897,0.379318687699603
"TCGA-AR-A24H-01A-11R-A169-07",8.3606,96.0939,40.4053,34.8306,15.1483,0.8715,52.3036,79.0874,104.8752,69.3924,35.6015,22.7484,743.2813,9.779,0.0271,78.5787,91.029,22.3882,2.8062,1346.858,236.9758,75.2792,29.1992,12.4498,401.9831,0.675489531920385
"TCGA-AR-A24S-01A-11R-A169-07",69.6371,53.8263,1.2749,28.2396,54.31,0.3611,60.5639,20.6728,121.8949,51.7886,26.007,15.7414,423.1918,13.7598,0.0484,24.6348,41.9496,15.1243,5.7285,1125.7622,68.6566,35.4836,8.3634,17.4403,121.3306,0.537420561953611
"TCGA-AR-A255-01A-11R-A169-07",65.6349,146.3931,6.9465,38.6881,57.6255,0.078,73.5759,38.617,116.6434,75.1118,34.0741,24.1027,981.2577,8.3079,0.1751,29.386,42.7885,31.9271,1.5914,1278.0479,82.7657,83.8779,13.0575,11.0553,152.1612,0.255121132939772
"TCGA-AR-A2LE-01A-11R-A180-07",26.6418,44.5192,2.5695,35.3344,31.0005,0.0218,29.7246,12.929,79.7355,28.5403,21.5031,8.4019,501.8936,2.4574,0.1752,9.1458,8.9059,19.4053,0.7766,1280.9086,19.6773,56.7852,7.734,10.921,200.5669,0.493161069711926
"TCGA-AR-A2LK-01A-11R-A180-07",81.4816,253.7417,6.3806,38.1736,48.8647,0.518,65.6231,32.7589,107.6459,56.9782,35.3664,24.2219,588.9615,5.4289,0.0382,66.9524,69.8636,28.6472,8.703,1942.6658,205.4704,101.7098,13.8472,11.7585,382.2853,0.405642117487661
"TCGA-AR-A2LL-01A-11R-A180-07",36.1094,65.0075,4.9241,15.4011,40.1492,0.3083,59.084,12.1608,99.6726,42.6645,23.7888,14.4866,575.829,2.4011,0.0125,31.2301,27.1589,16.0876,5.1433,834.2868,61.9754,84.7274,9.9613,6.2755,139.9874,0.181586502790412
"TCGA-AR-A2LN-01A-21R-A18M-07",49.0683,250.8444,8.5106,49.2012,41.7475,0.1819,56.391,47.0918,97.3465,43.2683,27.7064,19.5175,677.3378,18.5322,0.1072,5.7253,3.5273,47.4991,7.2634,698.7499,13.3402,84.6276,7.0703,13.963,283.0009,0.381141327139585
"TCGA-AR-A5QM-01A-11R-A27Q-07",28.0407,156.6724,6.789,22.7186,21.648,0.2426,68.002,13.6789,58.3409,30.7805,17.1429,19.2222,685.7696,4.0075,0.0552,23.5431,12.5132,16.9098,1.6202,630.1059,61.9071,120.2923,8.0854,6.8318,155.5971,0.208119616761831
"TCGA-AR-A5QN-01A-12R-A28M-07",30.5779,310.695,14.1461,38.1074,43.5433,0.0611,58.104,19.1538,65.3548,40.1973,17.419,17.4749,1113.4764,4.3918,0.0881,41.556,11.4595,18.814,1.3202,1094.23,25.2732,97.7823,10.6033,6.4948,60.4914,0.497451530694539
"TCGA-AR-A5QQ-01A-11R-A28M-07",10.004,389.8838,1.5262,5.5635,22.8225,0.872,107.0038,1.7265,56.4361,30.1097,14.5446,14.9817,838.5594,28.0877,17.5621,40.3505,62.1422,7.3658,65.1778,1028.1666,79.4158,57.3233,6.2599,4.4601,67.31,0.512532662343946
"TCGA-B6-A0I1-01A-11R-A21T-07",80.4435,54.4458,62.1834,16.0857,2.7314,0.8758,49.3845,18.2277,66.6177,15.6248,6.2812,23.0482,834.7393,1.1247,0.0152,89.5176,12.7068,10.5636,1.496,267.463,60.4595,55.3266,10.0886,3.2223,29.4985,0.269815155327591
"TCGA-B6-A0I9-01A-11R-A034-07",83.8491,48.5103,3.1465,40.14,71.6505,0.0548,64.2458,8.4243,81.1902,56.5962,24.6719,28.4461,532.9513,2.4483,0.0826,61.5286,37.4961,15.5976,2.5607,2074.4727,60.5652,56.4034,9.44,6.8185,161.9502,0.546098261234233
"TCGA-B6-A0IB-01A-11R-A034-07",53.6826,136.5205,3.0697,25.3112,11.0542,0.1537,78.7141,7.3637,85.9753,22.1528,12.3604,14.443,609.2551,0.6809,0.0095,29.413,17.0278,13.5904,0.1925,407.885,48.896,113.5021,6.8704,1.801,107.2902,0.437256040517436
"TCGA-B6-A0IC-01A-11R-A034-07",83.2303,56.3332,2.4244,44.0072,43.2208,0.2322,70.1978,5.8295,119.3172,38.2287,36.4963,19.9709,609.6675,0.5699,0.0405,23.8285,15.081,30.9608,8.4589,1355.2918,43.9334,116.4364,11.0088,13.4183,248.9442,0.244277808539841
"TCGA-B6-A0IH-01A-11R-A115-07",51.5571,80.3991,5.4848,46.1243,40.6532,0.06,63.0167,9.2115,130.3839,38.517,25.4393,16.342,777.0009,22.0894,0.165,4.7528,1.7447,12.5111,0.4759,732.826,10.8263,85.8577,8.1549,11.5783,187.6789,0.49041904577567
"TCGA-B6-A0IK-01A-12R-A056-07",95.1233,136.9516,11.4393,16.5514,51.0641,0.0169,79.1468,33.9582,99.9137,47.2643,31.4741,17.8239,820.572,22.0082,0.0932,38.7853,26.9782,14.7108,14.1585,1507.3592,119.3729,62.4776,11.9814,5.3176,61.4824,0.581712313300429
"TCGA-B6-A0IM-01A-11R-A034-07",49.5285,106.9181,2.2613,38.3528,36.9216,0.0686,72.0684,17.164,115.2373,37.5454,39.6879,14.9621,787.5358,4.7134,0.1348,55.7459,26.4438,21.8825,5.0804,1182.3633,57.6301,115.5964,14.0775,4.6613,296.5889,0.54766076073312
"TCGA-B6-A0IO-01A-11R-A034-07",57.7421,161.91,1.3329,41.886,37.4749,0.0327,46.3478,3.6782,74.5104,26.8511,15.757,26.4061,1572.2918,1.3128,0.0225,11.0647,16.0971,21.0963,1.4915,493.8603,29.6003,104.3654,12.4057,5.3779,180.229,0.106245362753637
"TCGA-B6-A0IP-01A-11R-A034-07",97.4326,223.0104,4.2439,33.2021,39.3777,0.0844,64.2366,16.8121,90.3582,29.0594,25.6648,17.4166,609.4879,2.4248,0.1194,21.6563,14.0904,31.5791,3.6819,716.8371,63.824,83.7599,10.076,7.538,168.7209,0.316590857769605
"TCGA-B6-A0RE-01A-11R-A056-07",26.6477,63.3101,129.3093,20.287,11.492,0.3351,93.4749,114.5966,67.0455,30.1081,20.0751,14.4503,543.8295,33.9135,0.1009,58.637,40.697,10.957,10.6928,975.0685,86.5972,47.7677,8.8133,4.8091,78.3057,0.419542834927002
"TCGA-B6-A0RL-01A-11R-A084-07",42.4475,296.6727,19.7992,23.3969,27.6089,0.1909,88.7727,7.4064,60.6159,33.0921,27.9277,18.5944,1105.3923,0.2528,0.0079,107.6781,39.7246,34.7346,0.5845,797.2491,120.7309,257.7713,15.3659,4.2053,522.3473,0.108455111455208
"TCGA-B6-A0RN-01A-12R-A084-07",85.1666,59.9116,12.5447,42.8607,43.9523,0.0504,73.0662,26.5138,64.0412,30.5826,19.378,13.2868,563.4134,6.0981,0.0347,4.6334,4.7801,14.8625,0.6,621.5616,16.2293,85.1306,8.6367,8.9139,253.2034,0.332349430626794
"TCGA-B6-A0RO-01A-22R-A084-07",60.8444,127.6639,1.8679,50.5733,82.3635,0.1045,84.6014,10.7589,98.4813,52.7375,31.5157,23.0654,786.0762,2.1925,0.0112,17.5459,10.9932,32.8004,2.0351,1620.8756,20.9197,188.6683,9.8795,5.7811,194.0102,0.402690409368044
"TCGA-B6-A0RP-01A-21R-A084-07",71.3087,89.3494,6.3065,46.5834,37.241,0.1056,55.0644,23.6482,95.0357,46.3806,20.3074,19.6451,716.9706,4.3707,0.1962,8.0515,11.0052,13.1591,2.5643,1122.9116,24.4254,138.127,8.7959,13.0895,47.3833,0.514258524468531
"TCGA-B6-A0RQ-01A-11R-A115-07",67.201,84.8448,2.3703,29.3058,36.6979,0.0285,56.6046,10.5002,116.5184,36.3426,26.9513,20.8,697.9969,7.336,0,4.6131,3.678,19.3781,1.5799,908.2226,12.8129,83.5606,9.2686,9.1851,128.9391,0.273428175102423
"TCGA-B6-A0WT-01A-11R-A109-07",69.145,106.4775,7.9822,44.6946,68.6238,0.0859,52.9902,36.3172,134.3962,61.1016,46.7186,26.5513,771.4341,5.4622,0.1518,22.4895,29.4148,25.9519,2.4408,877.9176,76.2985,71.0467,13.6159,8.1315,132.1483,0.53321074873383
"TCGA-B6-A0WV-01A-11R-A109-07",70.8163,186.0826,1.3516,48.1272,46.9204,0.0502,78.7745,36.6831,180.9802,38.0997,37.8369,29.7546,999.4579,6.2495,0.1381,64.6391,58.8763,66.218,2.0355,1808.3253,107.1488,106.3675,18.9789,7.5891,238.054,0.261976192780412
"TCGA-B6-A0X4-01A-11R-A109-07",47.3682,143.8983,6.406,38.5572,39.7165,0.1655,49.0225,9.2103,77.3039,23.8384,22.0243,28.7997,837.57,22.1197,0.052,7.6491,5.4553,29.5009,2.7132,1006.7725,14.1862,95.5515,10.8251,11.5494,193.595,0.365815119182504
"TCGA-B6-A0X5-01A-21R-A109-07",81.8457,115.0764,1.4653,35.9434,3.3896,1.7742,61.5464,9.1805,115.9407,6.5686,27.5942,21.233,557.1378,5.6274,0.0106,48.8226,79.6244,20.1759,0.9669,931.4566,175.5194,73.6666,9.6518,13.2847,4.7201,0.587251917823504
"TCGA-B6-A0X7-01A-11R-A10J-07",38.4575,56.1588,6.3809,29.7555,26.0711,0.0096,53.8117,17.6988,94.3948,32.4484,26.2017,13.2,638.2863,11.5919,0.2748,6.3053,9.2893,20.7706,1.0641,558.4477,23.4996,90.5094,11.6633,6.1048,199.9926,0.238717377979935
"TCGA-B6-A1KC-01B-11R-A157-07",38.215,100.7207,3.9027,40.9431,26.2826,0.1352,38.9449,15.9521,125.5641,38.4715,14.2812,20.2582,482.0123,1.6572,0.008,27.2303,13.5098,29.4952,0.2859,836.3882,39.9832,40.2342,14.0484,8.7557,6.457,0.627673980948391
"TCGA-B6-A1KF-01A-11R-A13Q-07",26.1599,31.3076,1.9769,21.6579,36.5953,0.012,64.3554,7.4846,86.7187,52.9199,10.6117,40.0877,715.8708,3.3932,0.033,68.8657,82.6026,8.6458,1.1434,795.2632,77.5331,89.9521,8.783,4.5438,40.0061,0.498886459415707
"TCGA-B6-A1KI-01A-11R-A14M-07",52.3613,53.9175,4.7193,18.2118,33.0041,0.0072,43.3006,27.1628,76.4277,29.4485,17.6918,15.8879,545.8044,10.6661,0.045,10.7667,3.8521,18.0038,0.0756,917.4256,17.8788,81.0152,8.5517,6.7602,112.3028,0.608987386689893
"TCGA-B6-A2IU-01A-32R-A18M-07",38.5281,87.0016,4.6112,39.6444,23.2295,0.0865,47.1066,24.7285,77.6796,46.0548,20.4414,14.1271,814.3487,1.3383,0.034,29.2075,14.8077,26.3382,0.2286,560.4533,66.2171,141.3187,9.1733,5.6056,36.1683,0.222926546017613
"TCGA-B6-A40B-01A-11R-A239-07",74.8354,136.1636,6.0771,19.7227,23.5279,0.0782,59.2006,12.1262,41.281,18.1754,9.5997,10.7092,1048.4259,4.1565,0.0546,26.1774,17.782,12.1669,5.0541,413.7971,51.89,92.2752,9.2579,2.7591,285.1389,0.363495596632149
"TCGA-BH-A0AY-01A-21R-A00Z-07",42.4846,205.3701,4.4436,15.4154,22.1485,0.0367,43.005,19.7333,83.8861,31.0528,17.63,10.1848,374.4661,4.3779,0.0036,21.291,20.1502,9.7287,1.1638,1169.4375,44.8133,75.9929,5.4406,2.8318,60.0861,0.794364245894481
"TCGA-BH-A0B1-01A-12R-A056-07",36.7162,99.0566,5.9244,27.8307,46.4641,0.0111,58.3827,16.982,94.6072,46.9723,22.9249,18.3077,686.2964,16.1385,0.2101,29.7632,38.4467,96.4627,18.0559,975.1552,74.409,104.8113,8.9517,6.6548,195.8693,0.487999612890738
