"TP53","CDKN1A","CDKN2A","SIRT1","RB1","TERT","CDK4","CDKN2B","MAPK1","MAPK14","MTOR","TERF2","UBC","CDK6","HMGA2","E2F1","CCNA2","MDM2","CXCL8","HSPA8","LMNB1","MAPK3","MAPKAPK5","ATM","CDKN1B","score"
"TCGA-A2-A0YK-01A-22R-A109-07",56.492,95.4848,2.6147,39.5795,55.3086,0.1279,41.2952,19.0862,118.46,41.913,29.4491,20.6957,714.7142,13.7645,0.0335,11.6339,10.9061,20.1418,3.0434,705.7678,33.6576,78.8299,10.2862,18.1762,170.9835,0.43417529597729
"TCGA-A2-A0YM-01A-11R-A109-07",68.8145,86.4739,128.6218,33.2035,13.7865,0.7953,118.3692,28.4061,134.0959,65.9695,46.5541,15.8444,762.4414,6.5397,0.0542,61.0723,146.614,24.96,79.2619,1568.6969,187.1525,59.7987,12.4638,7.9559,265.6409,0.59520251286405
"TCGA-A2-A1FV-01A-11R-A13Q-07",22.7637,81.4362,2.2956,42.4601,27.354,0.0454,38.0523,34.9683,172.0577,36.8269,35.3546,13.9287,579.0546,4.1928,0.0327,8.8967,14.5475,18.7259,1.3611,585.6133,41.042,53.0253,12.7307,7.3538,118.6903,0.38559308364786
"TCGA-A2-A1FW-01A-11R-A13Q-07",78.9235,248.4294,1.499,67.8539,64.1058,0.2218,78.2246,17.6282,144.517,56.829,35.1406,24.6055,886.3982,3.5827,0.0152,54.6544,32.0382,43.021,0.918,859.6913,124.0601,108.8375,25.7054,15.8118,374.8257,0.467418303816252
"TCGA-A2-A1FX-01A-11R-A13Q-07",95.9933,507.5247,11.1148,37.2997,81.9043,0.2542,89.5568,39.5924,130.6901,77.5944,30.3386,19.0891,1022.4665,3.9254,0.0346,91.4733,49.8372,59.403,0.879,1116.4406,138.0571,121.0523,16.4088,7.4043,70.2727,0.295194051175782
"TCGA-A2-A1FZ-01A-51R-A14D-07",71.2415,298.3157,5.3594,37.3519,65.1137,0.0879,58.0706,36.2637,138.2975,49.7389,34.3441,27.7944,755.7153,6.7198,0.2015,10.2558,16.0062,39.6425,0.9687,985.2969,34.1243,89.7347,11.258,13.1332,103.3623,0.351253266234395
"TCGA-A2-A1G1-01A-21R-A13Q-07",17.8119,74.6703,42.549,20.4349,46.1808,0.2647,67.2402,103.1065,215.8019,59.8781,29.8283,21.4763,989.6654,81.3517,0.3403,12.1454,84.1912,18.9094,25.3661,2261.5609,118.9598,72.1562,10.6207,13.8984,96.585,0.68887706055034
"TCGA-A2-A1G4-01A-11R-A13Q-07",32.1241,230.8951,4.1991,32.1274,52.8421,0.0081,56.0548,12.4156,151.7741,43.4225,44.5301,23.6684,654.2346,2.2608,0.016,34.2046,30.1029,29.4468,3.052,1113.597,94.8013,84.9654,19.7779,7.2971,379.3708,0.355721152295235
"TCGA-A2-A259-01A-11R-A16F-07",145.7613,205.8302,3.3701,37.8928,39.0984,0.1206,58.4545,11.5454,134.8973,41.4591,32.9537,18.9079,798.0888,6.117,0.1185,8.0087,7.4282,29.0747,13.1305,1277.2517,37.7583,192.3244,12.106,11.8975,193.6878,0.230538627457229
"TCGA-A2-A25D-01A-12R-A16F-07",26.9177,114.2322,2.1737,7.3307,18.5463,0.0388,49.7221,7.8022,59.3464,24.8877,22.4287,11.0217,452.5339,6.5023,0.0487,23.6129,15.5823,8.7504,1.1479,1364.2071,41.1072,106.7758,9.8571,3.6976,107.2316,0.408738991580374
